name as you use	name	titleEN	titleAR	descriptionEN	descriptionAR	link
se212fps	SE212FPS	Ozo skins Famous Pharaonic statues (SE212FPS) For	لاصقه حمايه من اوزو بااشكال التماثيل الفرعونيه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628167/Constants/se212fps_i0os9j.jpg
se213cgb	SE213CGB	Ozo skins Camouflage Grey Black (SE213CGB) For	لاصقه حمايه من اوزو بااشكال المموه باللون الرمادي والاسود لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628189/Constants/se213cgb_qf8sm8.jpg
se214cgb	SE214CGB	Ozo skins Peacock Feathers Pattern (SE214CGB) For	لاصقه حمايه من اوزو بااشكال ريش الطاووس لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628205/Constants/se214cgb_ipawzf.jpg
se215ftl	SE215FTL	Ozo skins Flamingos Tropical Leaves (SE215FTL) For	لاصقه حمايه من اوزو بااشكال الفلامنجو الاستوائيه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628212/Constants/se215ftl_xkg19q.jpg
se216fpd	SE216FPD	Ozo skins Flower pattern drawing (SE216FPD) For	لاصقه حمايه من اوزو بااشكال الزهور الملونه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628204/Constants/se216spd_t3bba9.jpg
se219app	SE219APP	Ozo skins Animal Pet pattern (SE219APP) For	لاصقه حمايه من اوزو بااشكال الحيوانات الاليفه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628205/Constants/se219app_xenfx2.jpg
se220cfp	SE220CFP	Ozo skins Camouflage fashion pattern (SE220CFP) For	لاصقه حمايه من اوزو بااشكال المموه باللون البني لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628206/Constants/se220cfp_kv4gwb.jpg
sv523mep	SV523MEP	Ozo Ray skins Transparent marble effect paint (SV523MEP) (Not for black phones) For	لاصقه حمايه من اوزو شفافه (لا تصلح للهواتف السوداء) بااشكال الرخام الابيض في الاسود لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628213/Constants/sv523mep_engj1c.jpg
sv524gsp	SV524GCP	Ozo Ray skins Transparent gradient Cross PATTERN (SC524GCP) (Not for black phones) For	لاصقه حمايه من اوزو شفافه (لا تصلح للهواتف السوداء) بااشكال الصليب المتدرجه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628212/Constants/sv524gsp_khruyo.jpg
sv524gcp	SV524GCP	Ozo Ray skins Transparent gradient Cross PATTERN (SC524GCP) (Not for black phones) For	لاصقه حمايه من اوزو شفافه (لا تصلح للهواتف السوداء) بااشكال الصليب المتدرجه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628212/Constants/sv524gsp_khruyo.jpg
sv521ffp	SV521FFP	Ozo Ray skins Transparent Filament fabric PATTERN (SV521FFP) (Not for black phones) For	لاصقه حمايه من اوزو شفافه (لا تصلح للهواتف السوداء) بااشكال نمط النسيج لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628205/Constants/sv521ffp_p206mn.jpg
sv522gzl	SV522GZL	Ozo Ray skins Transparent gradient ZEGZAG LINE (SV522GZL) (Not for black phones) For	لاصقه حمايه من اوزو شفافه (لا تصلح للهواتف السوداء) بااشكال الخطوط المموجه لموبايل	<li>OZO skins, the effective way to protect your phone back</li>  <li>High Quality material, good adhesive components, perfect texture, and no bubbles.</li>  <li>Elegant, modern and original.</li>  <li>Slim, light with perfect fit Anti-scratch Anti-fingerprint, environmentally-friendly material protects your Phone from daily scratches, dust, normal signs of wear, and danger of slipping out of hand.</li>  <li>Easy to Install According to the instruction manual, you could install it by yourself easily.</li>  <li>Easy to remove so you can change style and design.</li>  <li>This wrap leaves no sticky residue when You remove it.</li>	<li>جلود اوزو الطريقة الفعالة لحماية ضهر هاتفك</li>  <li>بخامات عالية الجودة ومواد لاصقة قوية وملمس مميز بدون فقاعات هوا باشكال حديثة ومميزة و خفيفة ومصنوعة من مواد صديقة للبيئة</li>  <li>تحمي ضهر الهاتف من الغبار والخدوش والبصمات وعلامات التأكل العادية وخطر الانزلاق من اليد</li>  <li>سهلة التركيب طبقا للتعليمات ويمكنك تركيبها بنفسك</li>  <li>سهلة الازالة و لا تترك اثار لزق علي الهاتف</li>	https://res.cloudinary.com/ozoskins/image/upload/v1609628213/Constants/sv522gzl_usvsow.jpg
